"recordedBy","bibliographicCitation","materialSampleID","organismQuantity","organismQuantityType","sampleSizeValue","sampleSizeUnit","associatedSequences","minimumDepthInMeters","maximumDepthInMeters","month","year","scientificNameID","kingdom","phylum","class","order","family","genus","id","dna_sequence","target_gene","pcr_primer_forward","pcr_primer_reverse","samp_name","env_broad_scale","env_local_scale","env_medium","samp_mat_process","size_frac","samp_size","samp_size_unit","otu_db","seq_kit","otu_seq_comp_appr","pcr_primer_name_forward","pcr_primer_name_reverse","pcr_primer_reference","occurrenceID","seq_id","samp_category","checkls_ver","assay_name","assay_type","targetTaxonomicAssay","geo_loc_name","technical_rep_id","project_contact","seq_run_id","lib_id","project_id","pcr_0_1","samp_store_sol","samp_store_temp","platform","instrument","tax_assign_cat","LClabel","nucl_acid_ext","nucl_acid_ext_kit","filter_material","category","flags","eventDate","decimalLongitude","decimalLatitude","scientificName","occurrenceStatus","basisOfRecord"
"Nick Jeffery | Ryan Stanley",NA,"Sample.67","0","DNA sequence reads",NA,NA,NA,16.1,116,"8","2022","urn:lsid:marinespecies.org:taxname:159821","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Ulvaria","00000f39-370d-4f13-8198-6666e678184c",NA,NA,NA,NA,"Sample.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Sample.67-12S-Ulva-9554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-08-10",-62.8425283333333,44.5063683333333,"Ulvaria subbifurcata","absent","materialSample"
"Nick Jeffery | Ryan Stanley",NA,"Sample.41","0","DNA sequence reads",NA,NA,NA,16.1,116,"8","2022","urn:lsid:marinespecies.org:taxname:126417","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","00001915-22a4-488b-8cf2-fd0aaefa2915",NA,NA,NA,NA,"Sample.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Sample.41-12S-Clup-2668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEPTH_EXCEEDS_BATH","2022-08-08",-62.4353383333333,44.77218,"Clupea harengus","absent","materialSample"
"Nick Jeffery | Ryan Stanley",NA,"Sample.22","0","DNA sequence reads",NA,NA,NA,16.1,116,"8","2022","urn:lsid:marinespecies.org:taxname:127207","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Triglops","000034fb-ae65-469c-9378-a85b7bdcd336",NA,NA,NA,NA,"Sample.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Sample.22-12S-Trig-8976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-08-08",-62.1436533333333,44.8027166666667,"Triglops pingelii","absent","materialSample"
"Nick Jeffery | Ryan Stanley",NA,"Sample.60","0","DNA sequence reads",NA,NA,NA,16.1,116,"8","2022","urn:lsid:marinespecies.org:taxname:126437","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus","00003ab8-4403-4ffe-89d1-1e28a839f02a",NA,NA,NA,NA,"Sample.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Sample.60-12S-Mela-11459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,"2022-08-10",-62.8877383333333,44.5569666666667,"Melanogrammus aeglefinus","absent","materialSample"
"Nick Jeffery | Ryan Stanley",NA,"Sample.27","0","DNA sequence reads",NA,NA,NA,16.1,116,"8","2022","urn:lsid:marinespecies.org:taxname:159785","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Tautogolabrus","000042e2-27b2-454a-a3c4-b17068ea0b5f",NA,NA,NA,NA,"Sample.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Sample.27-12S-Taut-1748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-08-08",-62.1007033333333,44.751435,"Tautogolabrus adspersus","absent","materialSample"
"Nick Jeffery | Ryan Stanley",NA,"Sample.1","0","DNA sequence reads",NA,NA,NA,16.1,116,"8","2022","urn:lsid:marinespecies.org:taxname:151520","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","0000519d-a764-42fe-a9ed-d49546129921",NA,NA,NA,NA,"Sample.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Sample.1-12S-Ammo-5726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEPTH_EXCEEDS_BATH","2022-08-06",-62.2317816666667,44.9054083333333,"Ammodytes dubius","absent","materialSample"
"Nick Jeffery | Ryan Stanley",NA,"Sample.30","0","DNA sequence reads",NA,NA,NA,16.1,116,"8","2022","urn:lsid:marinespecies.org:taxname:151520","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","00006a72-87a4-4ff3-9580-19a7d348b051",NA,NA,NA,NA,"Sample.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Sample.30-12S-Ammo-6594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-08-08",-62.3492916666667,44.6706266666667,"Ammodytes dubius","absent","materialSample"
"Nick Jeffery | Ryan Stanley",NA,"Sample.80","0","DNA sequence reads",NA,NA,NA,16.1,116,"8","2022","urn:lsid:marinespecies.org:taxname:158885","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","00006df4-683f-4631-9578-164df1b7fcb9",NA,NA,NA,NA,"Sample.80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Sample.80-12S-Pseu-7579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU","DEPTH_EXCEEDS_BATH","2022-08-10",-62.6832633333333,44.6885966666667,"Pseudopleuronectes americanus","absent","materialSample"
"Nick Jeffery | Ryan Stanley",NA,"Sample.45","0","DNA sequence reads",NA,NA,NA,16.1,116,"8","2022","urn:lsid:marinespecies.org:taxname:154675","Animalia","Chordata","Teleostei","Perciformes","Lumpenidae","Lumpenus","000078c5-2210-4d81-85a3-7f5f42ba78e5",NA,NA,NA,NA,"Sample.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Sample.45-12S-Lump-10021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEPTH_EXCEEDS_BATH","2022-08-08",-62.48502,44.8218216666667,"Lumpenus lampretaeformis","absent","materialSample"
"Nick Jeffery | Ryan Stanley",NA,"Sample.50","0","DNA sequence reads",NA,NA,NA,16.1,116,"8","2022","urn:lsid:marinespecies.org:taxname:126437","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus","00007d9d-00d6-41dc-9b79-181bef033d2d",NA,NA,NA,NA,"Sample.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-Sample.50-12S-Mela-12061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU","DEPTH_EXCEEDS_BATH","2022-08-10",-62.9757016666667,44.6579166666667,"Melanogrammus aeglefinus","absent","materialSample"
